AE2NetworkAnalyzer-1.21-2.1.5-neoforge	AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar	
aiimprovements	AI-Improvements-1.21-0.5.3.jar	AI-Improvements-1.20-0.5.2.jar
quarryplus	AdditionalEnchantedMiner-1.21.1-neoforge-21.1.157.jar	AdditionalEnchantedMiner-1.20.1-1201.1.136.jar
advanced_ae	AdvancedAE-1.6.11-1.21.1.jar	AdvancedAE-1.2.7-1.20.1.jar
advancedperipherals	AdvancedPeripherals-1.21.1-0.7.62b.jar	AdvancedPeripherals-1.20.1-0.7.46r.jar
AkashicTome-1.8-30	AkashicTome-1.8-30.jar	
apotheosis	Apotheosis-1.21.1-8.6.1.jar	Apotheosis-1.20.1-7.4.8.jar
ApothicAttributes-1.21.1-2.10.1	ApothicAttributes-1.21.1-2.10.1.jar	
ApothicEnchanting-1.21.1-1.6.0	ApothicEnchanting-1.21.1-1.6.0.jar	
ApothicSpawners-1.21.1-1.4.0	ApothicSpawners-1.21.1-1.4.0.jar	
appmek	Applied-Mekanistics-1.6.3.jar	Applied-Mekanistics-1.4.2.jar
appflux	AppliedFlux-1.21-2.1.5-neoforge.jar	AppliedFlux-1.20-1.3.4-forge.jar
aquaculture	Aquaculture-1.21.1-2.7.21.jar	Aquaculture-1.20.1-2.5.5.jar
Auroras-1.21-1.6.2	Auroras-1.21-1.6.2.jar	
betteradvancements	BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar	BetterAdvancements-Forge-1.20.1-0.4.2.25.jar
brandonscore	BrandonsCore-1.21.1-3.2.1.309.jar	BrandonsCore-1.20.1-3.2.1.302-universal.jar
BridgingMod-2.6.2_1.21.1.neoforge-release	BridgingMod-2.6.2+1.21.1.neoforge-release.jar	
Byzantine-1.21.1-51	Byzantine-1.21.1-51.jar	
CTM-1.21-1.2.1_3	CTM-1.21-1.2.1+3.jar	
CloudGlass-1.21.1-1.0.2	CloudGlass-1.21.1-1.0.2.jar	
clumps	Clumps-neoforge-1.21.1-19.0.0.1.jar	Clumps-forge-1.20.1-12.0.0.4.jar
codechickenlib	CodeChickenLib-1.21.1-4.6.1.529.jar	CodeChickenLib-1.20.1-4.4.0.516-universal.jar
ConstructionSticks-1.21.1-1.4.1	ConstructionSticks-1.21.1-1.4.1.jar	
controlling	Controlling-neoforge-1.21.1-19.0.5.jar	Controlling-forge-1.20.1-12.0.2.jar
corgilib	Corgilib-NeoForge-1.21.1-5.0.0.9.jar	CorgiLib-forge-1.20.1-4.0.1.3.jar
crash_assistant	CrashAssistant-neoforge-1.20.6-1.21.4-1.11.11.jar	CrashAssistant-forge-1.19-1.20.1-1.10.10.jar
CreateDragonsPlus-1.11.3	CreateDragonsPlus-1.11.3.jar	
creeperoverhaul	CreeperOverhaul-neoforge-1.21.1-4.0.6.jar	creeperoverhaul-3.0.2-forge.jar
cucumber	Cucumber-1.21.1-8.0.16.jar	Cucumber-1.20.1-7.0.15.jar
dimstorage	DimStorage-1.21.1-9.1.1.jar	DimStorage-1.20.1-8.0.1.jar
draconicevolution	Draconic-Evolution-1.21.1-3.1.4.632.jar	Draconic-Evolution-1.20.1-3.1.2.621-universal.jar
dungeoncrawl	DungeonCrawl-NeoForge-1.21-2.3.17.jar	Dungeon Crawl-1.20.1-2.3.15.jar
dungeons_arise	DungeonsArise-1.21.1-2.1.68-release.jar	DungeonsArise-1.20.x-2.1.58-release.jar
edivadlib	EdivadLib-1.21-3.0.0.jar	EdivadLib-1.20.1-2.0.1.jar
EnderStorage-1.21.1-2.13.0.191	EnderStorage-1.21.1-2.13.0.191.jar	
euphoria_patcher	EuphoriaPatcher-1.9.3-r5.8.1-neoforge.jar	EuphoriaPatcher-1.7.2-r5.6.1-forge.jar
ExplorersCompass-1.21.1-3.4.0-neoforge	ExplorersCompass-1.21.1-3.4.0-neoforge.jar	
Explorify_v1.6.5.mod	Explorify v1.6.5.mod.jar	
ExtendedAE-1.21-2.2.35-neoforge	ExtendedAE-1.21-2.2.35-neoforge.jar	
extradisks	ExtraDisks-1.21.1-4.0.15.jar	ExtraDisks-1.20.1-3.0.3.jar
extrastorage	ExtraStorage-1.21.1-5.0.10.jar	ExtraStorage-1.20.1-4.0.7.jar
bigreactors	ExtremeReactors2-1.21.1-2.4.28.jar	ExtremeReactors2-1.20.1-2.0.94.jar
extremesoundmuffler	ExtremeSoundMuffler-3.56_NeoForge-1.21.jar	ExtremeSoundMuffler-3.49.1-forge-1.20.1.jar
farmersdelight	FarmersDelight-1.21.1-1.3.2.jar	FarmersDelight-1.20.1-1.2.9.jar
fastfurnace	FastFurnace-1.21.1-9.0.1.jar	FastFurnace-1.20.1-8.0.2.jar
fastsuite	FastSuite-1.21.1-6.0.7.jar	FastSuite-1.20.1-5.1.0.jar
fastbench	FastWorkbench-1.21.1-9.1.3.jar	FastWorkbench-1.20.1-8.0.4.jar
fluxnetworks	FluxNetworks-1.21.1-8.0.0.jar	FluxNetworks-1.20.1-7.2.1.15.jar
framedblocks	FramedBlocks-10.6.1.jar	FramedBlocks-9.4.2.jar
gateways	GatewaysToEternity-1.21.1-5.1.0.jar	GatewaysToEternity-1.20.1-4.2.6.jar
glassential	Glassential-renewed-1.21.1-3.4.5.jar	glassential-renewed-forge-1.20.1-2.4.5.jar
glodium	Glodium-1.21-2.2-neoforge.jar	Glodium-1.20-1.5-forge.jar
GravitationalModulatingAdditionalUnit-1.21.1-6.4	GravitationalModulatingAdditionalUnit-1.21.1-6.4.jar	
HellishTrials-neoforge-1.0.5	HellishTrials-neoforge-1.0.5.jar	
hostilenetworks	HostileNeuralNetworks-1.21.1-6.5.1.jar	HostileNeuralNetworks-1.20.1-5.3.3.jar
Iceberg-1.21.1-neoforge-1.3.2	Iceberg-1.21.1-neoforge-1.3.2.jar	
ImmediatelyFast-NeoForge-1.6.11_1.21.1	ImmediatelyFast-NeoForge-1.6.11+1.21.1.jar	
Immersive-Energistics-1.1.0-beta	Immersive-Energistics-1.1.0-beta.jar	
immersiveengineering	ImmersiveEngineering-1.21.1-12.4.2-194.jar	ImmersiveEngineering-1.20.1-10.2.0-183.jar
IrisSearch-1.5.1-neoforge	IrisSearch-1.5.1-neoforge.jar	
ironjetpacks	IronJetpacks-1.21.1-8.0.11.jar	IronJetpacks-1.20.1-7.0.9.jar
jade	Jade-1.21.1-NeoForge-15.10.5.jar	Jade-1.20.1-Forge-11.13.2.jar
jei_mekanism_multiblocks	JustEnoughMekanismMultiblocks-1.21.1-7.16.jar	JustEnoughMekanismMultiblocks-1.20.1-4.14.jar
justenoughprofessions	JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar	JustEnoughProfessions-forge-1.20.1-3.0.1.jar
KeybindsPurger-1.4.0-neoforge-1.21.1	KeybindsPurger-1.4.0-neoforge-1.21.1.jar	
cataclysm	L_Ender's Cataclysm 1.21.1-3.32.jar	L_Enders_Cataclysm-3.16.jar
