AE2-Things-1.2.1	AE2-Things-1.2.1.jar	
AEAdditions-1.20.1-5.1.0	AEAdditions-1.20.1-5.1.0.jar	
aeinfinitybooster	AEInfinityBooster-1.20.1-1.0.0+51.jar	aeinfinitybooster-neoforge-1.21.1-1.0.0.58.jar
aiimprovements	AI-Improvements-1.20-0.5.2.jar	AI-Improvements-1.21-0.5.3.jar
Ad-Astra-Giselle-Addon-forge-1.20.1-6.20	Ad-Astra-Giselle-Addon-forge-1.20.1-6.20.jar	
quarryplus	AdditionalEnchantedMiner-1.20.1-1201.1.136.jar	AdditionalEnchantedMiner-1.21.1-neoforge-21.1.157.jar
advanced_ae	AdvancedAE-1.2.7-1.20.1.jar	AdvancedAE-1.6.11-1.21.1.jar
advancedperipherals	AdvancedPeripherals-1.20.1-0.7.46r.jar	AdvancedPeripherals-1.21.1-0.7.62b.jar
apotheosis	Apotheosis-1.20.1-7.4.8.jar	Apotheosis-1.21.1-8.6.1.jar
ApothicAttributes-1.20.1-1.3.7	ApothicAttributes-1.20.1-1.3.7.jar	
appmek	Applied-Mekanistics-1.4.2.jar	Applied-Mekanistics-1.6.3.jar
appflux	AppliedFlux-1.20-1.3.4-forge.jar	AppliedFlux-1.21-2.1.5-neoforge.jar
aquaculture	Aquaculture-1.20.1-2.5.5.jar	Aquaculture-1.21.1-2.7.21.jar
attributefix	AttributeFix-Forge-1.20.1-21.0.4.jar	attributefix-neoforge-1.21.1-21.1.3.jar
BambooEverything-forge-3.0.3_mc1.20.1	BambooEverything-forge-3.0.3+mc1.20.1.jar	
betteradvancements	BetterAdvancements-Forge-1.20.1-0.4.2.25.jar	BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar
bcc	BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar	better-compatability-checker-neoforge-21.1.8.jar
BetterF3-7.0.2-Forge-1.20.1	BetterF3-7.0.2-Forge-1.20.1.jar	
BiomesOPlenty-forge-1.20.1-19.0.0.96	BiomesOPlenty-forge-1.20.1-19.0.0.96.jar	
bookshelf	Bookshelf-Forge-1.20.1-20.2.13.jar	bookshelf-neoforge-1.21.1-21.1.81.jar
Botania-1.20.1-450-FORGE	Botania-1.20.1-450-FORGE.jar	
botanypots	BotanyPots-Forge-1.20.1-13.0.41.jar	botanypots-neoforge-1.21.1-21.1.44.jar
botanytrees	BotanyTrees-Forge-1.20.1-9.0.19.jar	botanytrees-neoforge-1.21.1-21.1.7.jar
brandonscore	BrandonsCore-1.20.1-3.2.1.302-universal.jar	BrandonsCore-1.21.1-3.2.1.309.jar
Chimes-v2.0.1-1.20.1	Chimes-v2.0.1-1.20.1.jar	
clumps	Clumps-forge-1.20.1-12.0.0.4.jar	Clumps-neoforge-1.21.1-19.0.0.1.jar
codechickenlib	CodeChickenLib-1.20.1-4.4.0.516-universal.jar	CodeChickenLib-1.21.1-4.6.1.529.jar
